Timestamp,date,time,Longitude,Latitude,Operatorname,NetworkTech,NetworkMode,RSRP,RSRQ,SNR,DL_bitrate,UL_bitrate,Eid,experiment
2024.12.10_07.58.29,2024-12-10,07:58:29,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,161,127,10id,1
2024.12.10_07.58.30,2024-12-10,07:58:30,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,304,152,10id,1
2024.12.10_07.58.31,2024-12-10,07:58:31,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,23313,218,10id,1
2024.12.10_07.58.32,2024-12-10,07:58:32,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,68,85,10id,1
2024.12.10_07.58.33,2024-12-10,07:58:33,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,11,18,10id,1
2024.12.10_07.58.34,2024-12-10,07:58:34,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,11430,142,10id,1
2024.12.10_07.58.35,2024-12-10,07:58:35,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,24658,163,10id,1
2024.12.10_07.58.36,2024-12-10,07:58:36,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.58.37,2024-12-10,07:58:37,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,56,58,10id,1
2024.12.10_07.58.38,2024-12-10,07:58:38,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,29023,201,10id,1
2024.12.10_07.58.39,2024-12-10,07:58:39,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,6970,51,10id,1
2024.12.10_07.58.40,2024-12-10,07:58:40,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.58.41,2024-12-10,07:58:41,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.58.42,2024-12-10,07:58:42,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,14374,105,10id,1
2024.12.10_07.58.43,2024-12-10,07:58:43,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,21248,148,10id,1
2024.12.10_07.58.44,2024-12-10,07:58:44,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.58.45,2024-12-10,07:58:45,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,7830,60,10id,1
2024.12.10_07.58.46,2024-12-10,07:58:46,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,23553,161,10id,1
2024.12.10_07.58.47,2024-12-10,07:58:47,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,4,9,10id,1
2024.12.10_07.58.48,2024-12-10,07:58:48,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.58.49,2024-12-10,07:58:49,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,203,110,10id,1
2024.12.10_07.58.50,2024-12-10,07:58:50,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,37555,259,10id,1
2024.12.10_07.58.51,2024-12-10,07:58:51,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,6,14,10id,1
2024.12.10_07.58.52,2024-12-10,07:58:52,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,17,15,10id,1
2024.12.10_07.58.53,2024-12-10,07:58:53,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,9,12,10id,1
2024.12.10_07.58.54,2024-12-10,07:58:54,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,31288,998,10id,1
2024.12.10_07.58.55,2024-12-10,07:58:55,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,4784,39,10id,1
2024.12.10_07.58.56,2024-12-10,07:58:56,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.58.57,2024-12-10,07:58:57,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.58.58,2024-12-10,07:58:58,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,26200,195,10id,1
2024.12.10_07.58.59,2024-12-10,07:58:59,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,5,6,10id,1
2024.12.10_07.59.00,2024-12-10,07:59:00,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,19308,152,10id,1
2024.12.10_07.59.01,2024-12-10,07:59:01,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,16705,116,10id,1
2024.12.10_07.59.02,2024-12-10,07:59:02,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,4,5,10id,1
2024.12.10_07.59.03,2024-12-10,07:59:03,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.59.04,2024-12-10,07:59:04,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,8939,68,10id,1
2024.12.10_07.59.05,2024-12-10,07:59:05,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,26881,186,10id,1
2024.12.10_07.59.06,2024-12-10,07:59:06,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.59.07,2024-12-10,07:59:07,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,6,17,10id,1
2024.12.10_07.59.08,2024-12-10,07:59:08,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,35998,252,10id,1
2024.12.10_07.59.09,2024-12-10,07:59:09,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,4,6,10id,1
2024.12.10_07.59.10,2024-12-10,07:59:10,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.59.11,2024-12-10,07:59:11,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,4,6,10id,1
2024.12.10_07.59.12,2024-12-10,07:59:12,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.59.13,2024-12-10,07:59:13,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,31377,221,10id,1
2024.12.10_07.59.14,2024-12-10,07:59:14,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.59.15,2024-12-10,07:59:15,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.59.16,2024-12-10,07:59:16,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,36007,252,10id,1
2024.12.10_07.59.17,2024-12-10,07:59:17,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,1,5,10id,1
2024.12.10_07.59.18,2024-12-10,07:59:18,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,6,6,10id,1
2024.12.10_07.59.19,2024-12-10,07:59:19,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,1,5,10id,1
2024.12.10_07.59.20,2024-12-10,07:59:20,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,26237,187,10id,1
2024.12.10_07.59.21,2024-12-10,07:59:21,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,8688,68,10id,1
2024.12.10_07.59.22,2024-12-10,07:59:22,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,4,6,10id,1
2024.12.10_07.59.23,2024-12-10,07:59:23,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,7,10,10id,1
2024.12.10_07.59.24,2024-12-10,07:59:24,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,176,81,10id,1
2024.12.10_07.59.25,2024-12-10,07:59:25,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,47768,322,10id,1
