Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,Operatorname,SourceFile
2025.01.18_17.40.01,-90.166697,29.954246,5G,5G NSA,-96,-12,11.0,3,X,18ma
2025.01.18_17.40.02,-90.166697,29.954246,5G,5G NSA,-96,-12,11.0,4,X,18ma
2025.01.18_17.40.03,-90.166697,29.954246,5G,5G NSA,-96,-12,11.0,3,X,18ma
2025.01.18_17.40.04,-90.166697,29.954246,5G,5G NSA,-96,-12,11.0,21987,X,18ma
2025.01.18_17.40.05,-90.166697,29.954246,5G,5G NSA,-96,-12,11.0,6,X,18ma
2025.01.18_17.40.05,-90.166621,29.954161,5G,5G NSA,-96,-12,11.0,6,X,18ma
2025.01.18_17.40.06,-90.166621,29.954161,5G,5G NSA,-96,-12,11.0,36849,X,18ma
2025.01.18_17.40.07,-90.166621,29.954161,5G,5G NSA,-96,-12,11.0,9,X,18ma
2025.01.18_17.40.08,-90.166621,29.954161,5G,5G NSA,-96,-12,11.0,7,X,18ma
2025.01.18_17.40.08,-90.166497,29.954205,5G,5G NSA,-96,-12,11.0,7,X,18ma
2025.01.18_17.40.09,-90.166497,29.954205,5G,5G NSA,-96,-12,11.0,36031,X,18ma
2025.01.18_17.40.10,-90.166399,29.95429,5G,5G NSA,-96,-12,11.0,7,X,18ma
2025.01.18_17.40.10,-90.166399,29.95429,5G,5G NSA,-96,-12,11.0,7,X,18ma
2025.01.18_17.40.11,-90.166399,29.95429,5G,5G NSA,-96,-12,11.0,7,X,18ma
2025.01.18_17.40.12,-90.166285,29.954393,5G,5G NSA,-96,-12,11.0,3,X,18ma
2025.01.18_17.40.12,-90.166285,29.954393,5G,5G NSA,-96,-12,11.0,3,X,18ma
2025.01.18_17.40.13,-90.166285,29.954393,5G,5G NSA,-96,-12,11.0,38706,X,18ma
2025.01.18_17.40.14,-90.166285,29.954393,5G,5G NSA,-96,-12,11.0,5,X,18ma
2025.01.18_17.40.14,-90.166163,29.954515,5G,5G NSA,-96,-12,11.0,5,X,18ma
2025.01.18_17.40.15,-90.166163,29.954515,5G,5G NSA,-96,-12,11.0,3,X,18ma
2025.01.18_17.40.16,-90.166163,29.954515,5G,5G NSA,-96,-12,11.0,3,X,18ma
2025.01.18_17.40.16,-90.166032,29.954658,5G,5G NSA,-96,-12,11.0,3,X,18ma
2025.01.18_17.40.17,-90.165963,29.954737,5G,5G NSA,-96,-12,11.0,16850,X,18ma
2025.01.18_17.40.18,-90.165963,29.954737,5G,5G NSA,-96,-12,11.0,16850,X,18ma
2025.01.18_17.40.18,-90.165893,29.954821,5G,5G NSA,-96,-12,11.0,17696,X,18ma
2025.01.18_17.40.18,-90.165893,29.954821,5G,5G NSA,-96,-12,11.0,17696,X,18ma
2025.01.18_17.40.19,-90.165893,29.954821,5G,5G NSA,-96,-12,10.0,4,X,18ma
2025.01.18_17.40.19,-90.165819,29.954909,5G,5G NSA,-96,-12,10.0,4,X,18ma
2025.01.18_17.40.20,-90.165743,29.955,5G,5G NSA,-96,-12,10.0,2547,X,18ma
2025.01.18_17.40.21,-90.165743,29.955,5G,5G NSA,-96,-12,10.0,2547,X,18ma
2025.01.18_17.40.21,-90.165661,29.955094,5G,5G NSA,-96,-12,10.0,33475,X,18ma
2025.01.18_17.40.21,-90.165661,29.955094,5G,5G NSA,-96,-12,10.0,33475,X,18ma
2025.01.18_17.40.22,-90.165661,29.955094,5G,5G NSA,-96,-12,10.0,59,X,18ma
2025.01.18_17.40.22,-90.165575,29.95519,5G,5G NSA,-96,-12,10.0,59,X,18ma
2025.01.18_17.40.23,-90.165495,29.955291,5G,5G NSA,-95,-12,9.0,78,X,18ma
2025.01.18_17.40.23,-90.165495,29.955291,5G,5G NSA,-95,-12,9.0,78,X,18ma
2025.01.18_17.40.24,-90.165495,29.955291,5G,5G NSA,-95,-12,9.0,4,X,18ma
2025.01.18_17.40.24,-90.165408,29.955391,5G,5G NSA,-95,-12,9.0,4,X,18ma
2025.01.18_17.40.25,-90.165324,29.955495,5G,5G NSA,-92,-11,13.0,38147,X,18ma
